CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription,OccurrencePrecinctCode,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
2024075002405,294453988,brooklyn,I,1.0,SUBN,Sport utility / station wagon,07,Failure to yield right-of-way                                                   ,075,1.0,PITKIN AVE&&SHEPHERD AVE,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2024075002405,294453988,brooklyn,I,2.0,BIKE,Bicycle, , ,075,1.0,PITKIN AVE&&SHEPHERD AVE,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2024075002408,294453990,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,075,1.0,PENNSYLVANIA AVE&&PITKIN AVE,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002408,294453990,brooklyn,I,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           ,075,1.0,PENNSYLVANIA AVE&&PITKIN AVE,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024061001229,294454488,brooklyn,I,1.0,SUBN,Sport utility / station wagon, , ,061,1.0,AVENUE U&&BURNETT ST,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024061001229,294454488,brooklyn,I,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           ,061,1.0,AVENUE U&&BURNETT ST,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024061001232,294454489,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,061,1.0,E 12 ST&&KINGS HWY,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024061001237,294454493,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,061,1.0,AVENUE R&&GERRITSEN AVE,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024061001237,294454493,brooklyn,I,2.0,SUBN,Sport utility / station wagon,05,Driver inexperience                                                             ,061,1.0,AVENUE R&&GERRITSEN AVE,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024062001061,294454494,brooklyn,I,1.0,SUBN,Sport utility / station wagon, , ,062,1.0,BAY PKWY&&CROPSEY AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
